id	filename	md5	size	state
0f1254c3-4e70-4b64-8843-7f43a0e40ea4	0f1254c3-4e70-4b64-8843-7f43a0e40ea4.vep.vcf.gz	1b41f79288017765082f766b320688bc	420760	released
a34b46a1-5457-4cb4-9e7e-032443c51c70	a34b46a1-5457-4cb4-9e7e-032443c51c70.vep.vcf.gz	760a5e6dfbbea543b2b9be95950cfa67	190006	released
9dfa91d1-0955-4429-94f8-b3e8c172d584	nationwidechildrens.org_ssf.TCGA-RR-A6KC.xml	1560c808395635fdd83a7852db56056c	14831	released
f9877d77-8696-44bb-bd82-b76e968395c7	f9877d77-8696-44bb-bd82-b76e968395c7.vcf.gz	132a3f2c4aa3938374360fe4f08d9945	40263	released
cdef06bb-99da-4d87-be96-e2b7819f8a2a	TCGA-28-5215-01A-01-TS1.28975112-66e0-4b39-966d-b26f23d4aae4.svs	7c853837740f9a7c290df6bfe820421a	53705207	released
21aeb9a6-c8ab-4447-aef6-f8b84bbc289e	TCGA-06-0122-01Z-00-DX2.8ccb2e31-03b4-4b49-88af-8412b68a901c.svs	8839d9b58cfb559e534446d0aa9586bd	162631757	released
11583f43-630c-420f-8a59-52bb1b2051b0	11583f43-630c-420f-8a59-52bb1b2051b0.vcf.gz	a4b75efec7b33c83d6aeb323249ea140	333770	released
08eb5309-d89d-460c-9a30-a08f2b07570f	TCGA-27-1830-01Z-00-DX1.4d3a6a94-8e40-497b-99e5-85b8aad0fefb.svs	8cfcfdacf632154bd8701c26c86fb86b	613346211	released
7fbd6e6c-126e-4d2d-ad59-d75a40e4b327	TCGA-14-1034-01Z-00-DX2.08f09fde-3f37-4262-8880-9d924a89501a.svs	7f618d86ed78713a7ea7ab30eab33acc	250422909	released
e3152e0b-89d8-49c8-8906-bd7ca2e15d13	a504b1cd-7d40-40e8-8d58-267c680768e5.FPKM.txt.gz	b9b1ba562247103e2fd87dbdca55f1cb	557211	released
852af9b0-fef9-47f3-828d-a791ae8784be	C282.TCGA-14-0787-10A-01W.4_gdc_realn.bam	0486cc6b74131edda6f9cfd31047631c	29510735875	released
562a864d-6843-40e9-9635-2cae6a27236e	TCGA-06-0138-01Z-00-DX2.7235a461-6b3f-489c-9bff-cb0ccba874ea.svs	b97f00a5c1771e0083d50c31f192f94f	249913877	released
6b2635bf-b350-4fce-acd1-b14051317713	RACKS_p_TCGAaffxB10b_11_S_GenomeWideSNP_6_A04_429562.nocnv_grch38.seg.v2.txt	081cc3e1cc766c7d2760bcd37f732889	4572	released
287ef5b8-1514-4514-a8fc-29a8e65b76ef	287ef5b8-1514-4514-a8fc-29a8e65b76ef.vep.vcf.gz	a5d32f1749853f74393f93c102797746	293764	released
