id	filename	md5	size	state
145cf0f0-734b-4103-96e6-e6e43de4db4d	nationwidechildrens.org_ssf.TCGA-24-2029.xml	b64a7dd4a351179ee09b579d79231860	14497	released
878384bb-9f5c-4cb6-b66b-4101d2694b66	878384bb-9f5c-4cb6-b66b-4101d2694b66.vcf.gz	11e3926abca3f6c9cad9dbeddddac632	627543	released
8537bf67-17d6-4e5e-ab15-6b6300c2d874	39a34789-fd59-4215-b6f2-e6a1c8d5ba92.mirbase21.mirnas.quantification.txt	80eb7cc72d1bd921a4ecd35ddb454309	50285	released
4ef1f395-2305-4464-bdd2-c1c5389fc525	4ef1f395-2305-4464-bdd2-c1c5389fc525.vep.vcf.gz	623c5f8ee833ad3c6204681e8e354d90	723771	released
d207c044-8249-45fc-95f1-2c0654522041	nationwidechildrens.org_clinical.TCGA-04-1342.xml	3ed228399555cb19308f8c9d528a01f2	54469	released
e73e9c6f-4026-48d6-b9af-4fefa07fd611	TCGA-24-1423-01A-01R-1565-13_mirna_gdc_realn.bam	461247a1f9ad1f57b00a87b2c3b897d2	173212319	released
e8f2f769-963e-4670-ab90-b807bc4be4c4	jhu-usc.edu_OV.HumanMethylation27.5.lvl-3.TCGA-13-1505-01A-01D-0475-05.gdc_hg38.txt	738fac5829cc5315737bca7b48846558	9951504	released
7cc2955d-fec5-42aa-9b0a-7f57145ec5ea	TCGA-23-1114-01B-01R-1566-13_mirna_gdc_realn.bam	8051f83acd420702cda9cb43703bf513	113405603	released
ba022ee8-b9b4-4abd-bff4-1c35d2a5bce6	TCGA-36-2534-01A-01-BS1.2441e987-11cc-4f06-9341-6780a518e263.svs	e87d5eace02be088826b2b4a27526025	185890763	released
b6d454c8-8fff-4edd-ac15-86c26c14dd12	b6d454c8-8fff-4edd-ac15-86c26c14dd12.vcf.gz	ee45769c95931860c19909067ef21ff5	550965	released
eb4fc206-64c0-4087-99d2-9b5ffc7b3b08	111d4d64-e1cc-404d-8fa9-ca0a545041cb.FPKM-UQ.txt.gz	0756ecd063c08abd9924fd66867bfda8	534616	released
38b6b803-9bab-4484-9ff0-93d1767a144a	TCGA-25-1870-01A-01-TS1.e29642cc-97ec-4d8b-b09d-ba85be57dd44.svs	c88ed6403b743414e9bb3518eb900cb5	80928775	released
b7496b1c-9fd6-45db-95b3-16e1a458b736	66b79146a08217af07912322c6248335_gdc_realn.bam	1a0d6060d49c219915b0f2707ea04875	23254991667	released
7e8609bd-92b8-476d-9924-73112905328f	SAROS_p_TCGA_B18_SNP_N_GenomeWideSNP_6_F02_489704.nocnv_grch38.seg.v2.txt	f93758c6e690a25da08781d1c044dec2	31277	released
f8ae7b11-19c9-40ee-b8d0-c94b266e9c4e	38a02deb-561f-4de2-b90f-1bd8459f459e.mirbase21.mirnas.quantification.txt	594ca29feef40e6532c6ee2ec85b9f8c	50536	released
425fc7f4-f164-4ead-b0ee-595c652c3c49	QUANT_p_TCGA_Batch12_AFFX_GenomeWideSNP_6_F01_437760.nocnv_grch38.seg.v2.txt	8a94590ef68944239f784ef53de4e31a	22424	released
2c1e3767-0eae-4eda-af5e-2e5a21f79fc7	ROOTY_p_TCGAb27and38_SNP_N_GenomeWideSNP_6_B11_584548.nocnv_grch38.seg.v2.txt	bd42160c9a32971e9b2a125582003cb9	229028	released
977adcda-c83c-46fb-95a4-7a6690435b31	TCGA-61-2003-01A-01-TS1.4a075378-e3da-4b3b-abea-c75c6acfd895.svs	2f55cd5d980de2851e48b8c9acfb74be	351366367	released
cbb4ea60-d76d-4d4b-9837-143a0fa3200f	THING_p_TCGA_B19_SNP_N_GenomeWideSNP_6_E09_495216.nocnv_grch38.seg.v2.txt	44f059fabc3da58622a970ce1196ca63	4285	released
9444620e-0f18-400b-8248-7b52d6225589	COTES_p_TCGAaffxB8_9a_S_GenomeWideSNP_6_H06_293074.nocnv_grch38.seg.v2.txt	5a6e7a00ac15a8209c2f5166e4d1c43c	39670	released
e3cb798c-1751-43a9-a33d-864c8615ed7a	TCGA-OV.1461657f-a324-4423-8eea-8d284dde4139.gene_level_copy_number.tsv	e50414982491709ad2e17ab6dfedab54	3482143	released
c0fe0305-090a-476d-9875-fc6be933ae45	TCGA-61-1914-01A-01R-1567-13_mirna_gdc_realn.bam	ec9672efb2ea81a8a6268027395052a0	345637854	released
089597b6-7ea2-443f-a168-5dc8c82ac105	MATZO_p_TCGAb40_SNP_1N_GenomeWideSNP_6_C07_667688.grch38.seg.v2.txt	10d34c2043fb13ed52ae151e6e7a8d8d	696904	released
0674aad7-5eaa-438a-8f98-551cd1e2b721	nationwidechildrens.org_clinical.TCGA-61-2613.xml	f5262bcc8282d8c5042999c5cb7fcfb0	44812	released
03ec26ef-170a-4cfb-8a5f-b1f20291fa9a	TCGA-25-1878-01A-01R-1567-13_mirna_gdc_realn.bam	69b6c92a04620dd6007bbe3dc2eea3e7	129260731	released
45188140-6690-4870-8614-6a253727aa9e	0ab0f22f-bfeb-4a5e-bd8f-f0fb30eac992.FPKM.txt.gz	381035873e2d7877056b725fac0af485	541088	released
f9489dc5-acc3-4e99-a2cf-474f152a05d4	f9489dc5-acc3-4e99-a2cf-474f152a05d4.vcf	74d4f81c89cb66a4aa9881535be6c1f0	214832	released
483a99b9-1bc6-4607-9314-bfd469fb58b8	TCGA-20-1683-01A-01-BS1.4fa77b3e-e254-44a5-8dbe-ac9089746160.svs	60a4afe1fc5d0be4f31ab9d17c6594c1	91523139	released
e5b8461e-044d-406c-862c-972c56e17d6b	LOGIC_p_TCGA_B21_SNP_N_GenomeWideSNP_6_F01_518022.grch38.seg.v2.txt	a3d760cb5a87a9a1c1ccb96ac73235d4	89582	released
d693f0be-e9c9-4be4-8a4f-3a256b846b8b	b930e9a2-09a2-45bd-82dc-552afa7539ec.mirbase21.mirnas.quantification.txt	8b945c062031c067ccfc699a7d9eef48	50406	released
1d48bf45-061f-45ae-a386-f268b93b953b	0d206137-dd6e-466f-9966-30331b36bd31.mirbase21.isoforms.quantification.txt	96b376cae29f9d06b5e3f797c1e62102	314150	released
2c605e85-f211-4394-8569-e1958be60b7e	ACOLD_p_TCGA_Batch17_SNP_N_GenomeWideSNP_6_F04_466016.nocnv_grch38.seg.v2.txt	ed7d1e0a7fed5583f054741a9fe70f97	19994	released
7bb15dfd-8255-4101-bab6-483ab3a3961a	C239.TCGA-24-2019-10A-01W-0722-08.3_gdc_realn.bam	d7571928d29191b12c3cf40433279121	24191188346	released
1bf4f1c0-cdf3-478c-ae1b-b6cdfc85f645	1bf4f1c0-cdf3-478c-ae1b-b6cdfc85f645.vcf.gz	1a1af08e1e2ae7946d2f85c0e1b417ed	1456474	released
1ec3dc9b-37ce-4371-a623-933ac30c88c6	nationwidechildrens.org_clinical.TCGA-20-1683.xml	e842f84b63a3829687dde7d33923cebb	44868	released
5c6acabb-d83d-4ebc-b771-6171c6644192	TCGA-13-0921-01A-01-TS1.6e9b3d75-356e-42a7-8f1f-e0bcaf429977.svs	092a657856681ea1df0f3b2719c2f57b	380312193	released
e82c71fa-c8fd-46f5-8dcc-e3fa253c4b9d	89758e34-511b-465a-81db-2af07f047d5f.htseq.counts.gz	1d39cdddc627da8c5b47ad600ab9db52	249172	released
5ce47675-ea48-4104-b444-a48ace7dabe6	2b6eb1a7-64df-4c16-8151-f4bda4556408.mirbase21.isoforms.quantification.txt	8f0bc6fdc751d57d4e2e6db421d88550	409011	released
